"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.656724215	0.115494	0.367739	0	0	15:45:43.321	
0.656735837	0.153314	0.367739	0	0	15:45:44.335	
0.656747758	0.230773	0.367739	0	0	15:45:45.339	
0.656759322	0.324088	0.367739	0	0	15:45:46.340	
0.656770706	0.376088	0.366464	0	0	15:45:47.354	
0.656782448	0.381836	0.353004	0	0	15:45:48.366	
0.656794071	0.381836	0.320772	0	0	15:45:49.381	
0.656805992	0.381836	0.285152	0	0	15:45:50.393	
0.656817377	0.378876	0.285345	0	0	15:45:51.405	
0.656829119	0.319447	0.308086	0	0	15:45:52.417	
0.656840742	0.17088	0.351271	0	0	15:45:53.423	
0.656852603	0.128216	0.370819	0	0	15:45:54.433	
0.656864107	0.11644	0.37348	0	0	15:45:55.436	
0.656875968	0.16159	0.37348	0	0	15:45:56.447	
0.656887531	0.247103	0.37348	0	0	15:45:57.455	
0.656899095	0.334348	0.37348	0	0	15:45:58.467	
0.656910837	0.376685	0.371271	0	0	15:45:59.475	
0.65692246	0.378738	0.354492	0	0	15:46:00.487	
0.656934202	0.378738	0.31809	0	0	15:46:01.502	
0.656945765	0.378738	0.286353	0	0	15:46:02.513	
0.656957507	0.375933	0.290566	0	0	15:46:03.528	
0.65696913	0.285588	0.318042	0	0	15:46:04.538	
0.656981051	0.167212	0.359259	0	0	15:46:05.540	
0.656992674	0.126972	0.376001	0	0	15:46:06.553	
0.657004535	0.119599	0.377821	0	0	15:46:07.564	
0.657016098	0.178774	0.377821	0	0	15:46:08.578	
0.657027483	0.280769	0.377821	0	0	15:46:09.591	
0.657039285	0.362306	0.377821	0	0	15:46:10.604	
0.657050908	0.382753	0.373732	0	0	15:46:11.616	
0.657062769	0.382753	0.350453	0	0	15:46:12.627	
0.657074153	0.382753	0.31041	0	0	15:46:13.639	
0.657085896	0.382753	0.285058	0	0	15:46:14.653	
0.657097459	0.369192	0.295231	0	0	15:46:15.667	
0.657109261	0.262133	0.326476	0	0	15:46:16.681	
0.657121003	0.164892	0.364207	0	0	15:46:17.696	
0.657132566	0.125182	0.379879	0	0	15:46:18.710	
0.657144308	0.117189	0.381742	0	0	15:46:19.726	
0.657155812	0.176972	0.381742	0	0	15:46:20.737	
0.657167673	0.261049	0.381742	0	0	15:46:21.738	
0.657179236	0.343102	0.381672	0	0	15:46:22.750	
0.657190979	0.378623	0.377899	0	0	15:46:23.762	
0.657202601	0.378623	0.352741	0	0	15:46:24.765	
0.657214522	0.378623	0.314838	0	0	15:46:25.777	
0.657225966	0.378623	0.292402	0	0	15:46:26.781	
0.657237828	0.376188	0.302173	0	0	15:46:27.782	
0.657249212	0.264408	0.333725	0	0	15:46:28.794	
0.657260954	0.152488	0.371551	0	0	15:46:29.807	
0.657272696	0.119879	0.384434	0	0	15:46:30.822	
0.657284379	0.121614	0.385523	0	0	15:46:31.832	
0.65729624	0.185913	0.385523	0	0	15:46:32.844	
0.657307684	0.291428	0.385523	0	0	15:46:33.851	
0.657319546	0.364218	0.385087	0	0	15:46:34.855	
0.657331169	0.377017	0.378605	0	0	15:46:35.869	
0.657342911	0.377017	0.35288	0	0	15:46:36.879	
