"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.631916642	1.11327	594.298	596.381	0	0	15:10:00.240	
0.631928027	1.11123	594.798	598.742	0	0	15:10:01.247	
0.631939769	1.10397	596.577	599.317	0	0	15:10:02.262	
0.631951451	1.09652	598.403	599.256	0	0	15:10:03.271	
0.631963313	1.06559	609.39	601.998	0	0	15:10:04.281	
0.631974757	1.05665	612.828	602.781	0	0	15:10:05.299	
0.631986618	1.05152	614.799	602.894	0	0	15:10:06.310	
0.631998241	1.05737	612.551	603.615	0	0	15:10:07.318	
0.632010162	1.06205	610.749	603.667	0	0	15:10:08.328	
0.632021606	1.07056	607.478	603.742	0	0	15:10:09.344	
0.632033467	1.08423	602.22	604.325	0	0	15:10:10.357	
0.632045031	1.08629	601.428	604.397	0	0	15:10:11.367	
0.632056594	1.09219	599.464	597.373	0	0	15:10:12.364	
0.632068396	1.09897	597.802	595.015	0	0	15:10:13.379	
0.632080019	1.09855	597.906	595.318	0	0	15:10:14.392	
0.63209188	1.0963	598.457	594.49	0	0	15:10:15.404	
0.632103503	1.09998	597.556	594.249	0	0	15:10:16.416	
0.632115424	1.09676	598.344	594.19	0	0	15:10:17.411	
0.632126808	1.0899	600.04	593.152	0	0	15:10:18.420	
0.63213855	1.07367	606.28	593.513	0	0	15:10:19.433	
0.632150173	1.04278	618.162	594.191	0	0	15:10:20.444	
0.632162035	1.026	624.617	593.183	0	0	15:10:21.450	
0.632173479	1.0213	626.424	592.322	0	0	15:10:22.460	
0.6321854	1.05826	612.207	589.869	0	0	15:10:23.466	
0.632196844	1.04874	615.869	588.521	0	0	15:10:24.476	
0.632208705	1.04547	617.126	587.932	0	0	15:10:25.481	
0.632220268	1.03995	619.252	587.815	0	0	15:10:26.489	
0.632231891	1.02253	625.949	587.63	0	0	15:10:27.498	
0.632243633	1.01735	627.944	588.069	0	0	15:10:28.506	
0.632255197	1.00582	632.378	588.398	0	0	15:10:29.521	
0.632266939	0.969187	646.467	590.244	0	0	15:10:30.532	
0.632278562	0.974965	644.244	590.55	0	0	15:10:31.550	
0.632290483	0.980391	642.157	590.532	0	0	15:10:32.559	
0.632301927	0.990943	638.099	590.332	0	0	15:10:33.562	
0.632313788	1.01558	628.622	590.097	0	0	15:10:34.578	
0.632325351	1.03675	620.483	589.826	0	0	15:10:35.591	
0.632336974	1.04985	615.441	589.554	0	0	15:10:36.602	
